Unnamed: 0,Encrypted_Seller,Encrypted_Id,Title,marca,start,end
0,b10532ee783f9545d7bddd8f9da20d2a8d1642a486caf522ab479c135c915b3b,63c875becd6c78649539497bdd134c2c762f610b3616aee35c852dfed88eaadd,Smart Tv Noblex Di43x5100x Led Full Hd 43  220v,Noblex,9,15
1,aa4dd7ba40c80cf15a859c19f2500e328797e2251322d47d15c0b42647e4d846,490e4b75cfa66087c95b20fb6546e4dfdc952f7537a8e3dcb69a8a92ec02c3e4,Smart Tv Tcl L42s6500 Led Full Hd 42  220v,Tcl,9,12
2,e48526711c7cd386af46750540bf107acac9b5988b515a52d333b36ce255d33b,eab7301d49cd3bbe3bcd3c196da0d61713de45b44523c12562483a8e978bfa67,Tv Samsung Smart Tv Hd 32 Para Repuestos,Samsung,3,10
3,9e527f7876123f50719291aed05c8351bab1ae9abacadb378949b79cd3a47b15,daf900de69964f2cf241ed5395ac74edd1f2deb65773562f48c4a462b3c57107,Tv Led Samsung 46 Smart Pantalla Rota,Samsung,7,14
4,cf3021aa458178431fa2f22daa52ee17f005d6728d9b35d07aa83e4cab3fd0b8,b244c68806fab7d7d523a3927a4eb6381610c40313e8bb2ac34dd420c1d299ce,Tv 29 Sanyo Vizon,Sanyo,6,11
5,27c4d509a933040de20175037c7061ec1424295ef1b799877a1b59505c88446a,0fa5d6fb485d5cef492706f3e23bc629b4f333daae176d9f4cd43c2869ac5b62,Televisor Philips Led Tv 32 Pulgadas Dolby,Philips,10,17
6,68323cc2ade8e11aa3de76b12749ffd95d262ab3d62cd6c884903b615e51511b,4107ded96ec25b643acc14d3b3d84d4be43bdb37d90edb266c15274a8cd2d5ec,Televisor Samsung Hilton 14 Pulgadas,Samsung,10,17
7,8786a62f4f9bc8d61357622d2fa023c2b305981457fa5c3ccbb3aa2c12039fbd,32b8aa4d836651d8e8184edaf83e510f7685d2d563006dfbfeb14d328ef8059a,"Televisión Samsung Led 32 ,modelo : Un32j4000agczb",Samsung,11,18
8,082fcb58560611c7d8f64da6921745e512f27b230450cddf2dbe7acd878b9107,7584100f8f7971913b046cd5b3b7021807cbddf5526eeec830be7bef7a5fe903,Esmart Tv 55 Pulgadas,##REV,##REV,##REV
9,958da0565f24db6f466097e652c16acffbb1cb64470d74c61138fc07d5e2645d,ab12233081129e2412a143a6f40d747c40c5603db942ea420a6887bf04329064,Tv Led Samsung 40  ,Samsung,7,14
