Unnamed: 0,Encrypted_Seller,Encrypted_Id,Title,marca,start,end
0,7a30f2b511ff323b31dc01de07736128b49d5ec4c50b01eb231cbcc208bb7c47,054dd4f1afba59722078d8a4af2f1b3742d767e836ace25c8bc5e85cee8ef005,Teléfono Nokia 1600,Nokia,9,14
1,f6fed6d5cf9a02286d81f9c842a3874511ff1d3d411a94e44b4cbfe472e2c011,6c6a089073a7ba0ba6897eb51b0a0b5dc50d8071edafefe7b06ecdea43366826,Celular Motorola G6,Motorola,8,16
2,eef17e4b9fa3ccc0232a39061e31e721f5ca6a7a44b7864e992722020c128f25,78364fc1d8574957fe3508ed687d862a0bbcf5e51365582a4b729bfb242a2da9,iPhone 6 Plus 16gb,iPhone,0,6
3,2ab9d5c1ec1dc9cf166fd20e51a3e734ab5076a4e5c73d03d50dd77ec75a98fc,896a81cc2da0ecb382e3b519783a8ef2d9ee0ce3872ea310678de2e24ce2f8e2, iPhone 8 64 Gb Space Gray,iPhone,1,7
4,0f9b41b18f3c3776dc9515e1eb2a8686d4b271341444bb014911547de0a7a6b2,e6733e9d8b3bd38642d841c4509b0a5d6b5545d9a75fab123f23e4f4e77e06f7,Huawei Mate 10 Lite,Huawei,0,6
5,6835a621d939cf097f0c1b33e42db08d67a01db54ee3ebca4269863975fdda38,b86343e6a11ff32d950ac1ef8f573e5da3f6fccc52e462b4b586254a681c4790,Samsung Galaxy J4 Usado Poco.,Samsung,0,7
6,e756038932858b03d3eedb9815fe7b5879032bcd15e7a75c8d1c2d5e82b1fccc,08b93d86989230949a0d94f479ad3def94300261f3128fda8ff1854cc49554fb,Celular Samsung Galaxy J5 Prime 16 Gb Ram,Samsung,8,15
7,6bb679b2da3d73aba799fcef7fdbf4a4c519b81bf88777105485874da33b0e31,af869290c8297a0a9144214519e2ad544df304f4a6b3cc7a0ab226ba60299887,Celular Samsung S8,Samsung,8,15
8,824f094548f2c95be8f1585611488db8dab60f2044cd05cc86111af8a9f664e0,90d9e63c58cb2a5901952d6a9f32f7281b213c5367b7cfc025b53ad5d0b19814, Moto G7 Play 32 Gb Índigo Oscuro 2 Gb Ram 32 Memoria Intern,,,
9,49ada647fc9ae34aa16d3dc1479dd860359ed3c3ab14f87779f45cb4de6e502a,f9d30b05e03bbaca82e2dbc9504966c60adc4c11122737172ce2e2e1b8daaa01,Celulares Kyocera S14 Lote De 3 Con 2 Cargadores Y Mucho Mas,Kyocera,10,17
10,22b191d7fae813b4b2082a5d24cd0f474c3695495d251851e371bde27ad0fe92,fdc4af79a34f43f5e416d7796750b3b9bfd0a0d916e7d247969fd2827a92f4a4,Sansung Ace J1,Sansung,0,7
11,ecdc2f0f9eb28167e8a3d61d5c893e9fdfd86878b0fcd6eae0387ec173258d16,aec7cddc401bc601222fa698a7fa9246079b29c710e36babae3a85a4985fbece,Celular Xiaomi Note 8 (excelente Estado) ,Xiaomi,8,14
12,2667025267a238c202da005d9d200e6c5597a7501a679672d9a502649a5c643b,011a984cf4cdbc28f9ceee8eaac357b5d3ce8ad409204f39900105b8d4463010,iPhone 6s Plus 128 Gb Plateado Excelente ,iPhone,0,6
13,245a5d93817b48aceb73991094d34920d680b4ad0af4e81f9d374320f2a09109,bd980780ba1adafa4aee0ab688656dd195b0e1dc402bfc683efb87ba6376dd95,Alcatel 1v Plus 32gb Memoria 2gb Ram Negro,Alcatel,0,7
14,6041938b7c1054768edeaf34b0d44b1213c120fc98e0035c4b525917f4c211d4,e79bd1e64da6844cc16b902023b0ab419585c959bfb82770b25677fa23dd3a44,Samsung Galaxy J5 Prime 16 Gb,Samsung,0,7
15,2a8005286e46cd192cc2a6fac009ba2da8873240dd91fc88f51648eb34326939,412ff59b268cb8a346a0da39ea9532e717bbe43c457f8c5f3b389e7ef871274f,Celular Samsung Galaxy Poket Funcionando No El Táctil ,Samsung,8,15
16,e2d7d469760945ab6b22dd03fea8d01db81ccc7d63d188e025aab3519737fb16,fbc79f42ea3d2058ca24c2ea60e5b05e2847583f9b11c8e906de07f67a50bded,Samsung A20 Dual Sim,Samsung,0,7
17,36c53098c9099e3d75d0f79dea3851daa187b0e5866f913834f8e8d05c2afb0f,3770163c7cb5e53fcaec3e8df3203e3363f2f0158a7dc293498ba1a3236cf30f,Teléfono Celular Motorola W175 Gsm No Funciona ,Motorola,17,25
18,8cc9e09f554e8a9cfad4be5e95cfaf2ea0a1e5b82005e061351651d43ae4e2aa,26557949831c63d88a99dbea93f3a669b7210c73f2ac033aac99fa01e34523b4,Samsung Galaxy S8 64gb,Samsung,0,7
19,04afcf1d5dca1ccddfd9da16dc2c34ed184d26ab9bb6e977e3f50eda80bc6098,5b03936070c51810d6065f7244117dedbaca7240aafeff76847ec645ca55de79,iPhone 7 Plus 256 Gb Muy Buen Estado!,iPhone,0,6
20,903af82d1f4e5b77c22fa16acfefd2f4af6bd1253556477cb0aad50f25e649ac,c0b4356117025783ffa5152a36b26ac97e6420ebc2569577a638a2c4a210aac9,Celular 3g Personal Samsung Gt-s5270y Nuevo! En Caja Sin Uso,Samsung,20,27
21,0ef664bf7296ea53ada6e91647d48dbce0af9ed23fb1723f763fa6bf5f8c6e4d,cef34a994095a056ba4d930725efeff4c9dbe47e1fb7ebdece8f19782edf4a8b,Celular Samsung Galaxy A10 Blue,Samsung,8,15
22,445ef445947018c80e75605c9a170f3d3be916fcc98bbe132f0cb5da25615e8e,cd96588a81cb0b19eba88ba8eea0be3c71dabf70994786c319553186be6fec29,Motorola E5 Play Para Repuestos...leer !!,Motorola,0,8
23,9e753c455999bc98f23c5cd4e35b4096b51cdca54612a67b8cdbdb5ea8aaabb4,115b4bf54ec629f9e47bbdec46bd8654fa863b5505732ffe1469947570987d74,Xiaomi Redmi Note 8 128 Gb !!,Xiaomi,0,6
24,7b1f41f7f9a546ef457487fba68f5ee4d92215aae4ef7b5b6a7fb3a1d3f72ec6,d572a1f07c83cd877fcdea9ae0d2475a1857d24d930e834e4f629407f3707ec2,iPhone 7,iPhone,0,6
25,766609bebe9f8be38a03d8a0015b81b77acf39a7ad0487cdfb9a72512e5c381d,8d83605276bb21db61264db8f7e316f56d7870d464d7bb4e7ddc5c4424aca8a1,Celular Huawei P20 Lite,Huawei,8,14
26,6be914179b160dd5bc2c85e6ecf5dcef32a27b004a182a84f2a3b459751c26b9,1b504133840f419f16a17e738ae4df5280086610e48433dc345b0dc51a93b9cc,"Celular Samsung Dorado Cobre, 16gb Sm J5",Samsung,8,15
27,873c5f341ca0b43d4262634740235a4c34d33204265928acbe91341e20455fdf,642d967902a78679dfbe9033a1382b969c9696eaf8cfd2dec5a224dbd9b95b05,Motorola E6 Plus (edición Especial),Motorola,0,8
28,07e69407a47a00a40b8b6740d3327898dd33990c53f30bafc0dbfa2cd9493b0a,c537939b0ae52ba7cd4368ba122589397e9f997dae4eb48d8804bc7726c47123,Nokia Lumia 535,Nokia,0,5
29,78250c7b1801828d373e017f2f3757613f6b7c9c245c7354353b4a2b396fcd8a,93d697eff017bfdbcabf089607b99d5e09597c4d416ba7a1acbc41ba4a307dd8,iPhone 7 128gb,iPhone,0,6
30,4571b9dd9a9b7b8333b18799e86041923d90dbc7aedab9dbb23ad89637346e12,9d78d2f9944898ce0d4d2684b3b76e88ae38738edcf6864265890f3cbb2772fa,Celular Motorola E4 Plus Dorado,Motorola,8,16
31,cd1ce10069f78781f859f28638fa2e951bb0f5e32741649b119e876097957cb4,6e3486b4c01e42b1840a94f071a525d1fb7dbf3fb316bc0197ca4427101dcf95,Xiaomi Redmi 8 Dual Sim 64 Gb Azul Zafiro 4 Gb Ram,Xiaomi,0,6
32,bfbeb84c75c833ca962fa0294ea6be69ee9bf692e7c61bc7ec8c72a62b1d14a6,3412a76d5a016c452d0522446f62b7213c8fdffe1133b9c8224c2b901ead31ec,iPhone 8 Plus,iPhone,0,6
33,8522f229631e735f84e3afe9a83f177f52ad58bfbfea8dac8985a011f500c46b,e20cd7084c49caaf9fd1257162f6b23d45129b74ef60e118c1faaba324eff8d3,Celular Umidigi A5pro 4g - 4gb Ram 32gb Leer,Umidigi,8,15
34,d6510edb9e8d1f671131430d6e3e7290893b05be271ab5f24ae98a72ee62b617,74e05296e5aabb60a2fe319ad50fcbea7c8a483da237ccc69bb4a73b4ec44061,iPhone 7 128gb,iPhone,0,6
35,933dc2625c1825e43100ffc4d816bfa99a6a87081acf580acd3f18b19ad061c7,803d713584bb290a75d7f637b5a597c3ed65c1a077c151c7356aa3b2ada0e81f,Celular Samsung Galaxy A51 ,Samsung,8,15
36,9ef494ad4969c79d01c434d4d020df2c5329c6515162313f6e71c5d2de2311cc,58ef8b17afa55a648b80f53b87c8a71ac842010b05348b7ff4c35e34d305215c,Apple iPhone 12 Mini (64 Gb) - Verde,iPhone,6,12
37,e16f1a5f47fd383930dc8f2ce54b40ac50c213b1a58683b7bdab14d5722017ee,5abf82816605a2dc66bcb83a880c45a2981e950c9d11738cfc4e47c0db775eb4,iPhone SE Rose Gold 16gb Liberado Impecable,iPhone,0,6
38,540d3eda1e870e3044cb2a26c940861af87a76c923166eb8a5bb02da875948c3,fe54f8506eb657e9fe45edb85df38da5d8ecd1466b3d4ab693ba1c5aaf7f23cf,Moto E5 Plus,,,
39,8ee7e33a10d695b066b161bfdb79df59f74c2d4248dc00189e18cacbbe6bd215,fef0457a35d16087d1a81c32bc4c3ac718a73454c3b3fbe38154d1d82d913236,Celular Libre LG G4 Stylus ,LG,14,16
40,ba4dd7af75a56c3b3e5eb3a6495fe45d0da23bca682bb6d2825f8a65edf656bd,6aa396069a89c765a3becee7bffd071acb348b5615bffa22b354a226fb9a31e0,iPhone 6,iPhone,0,6
41,b7aef7292c30c07f40bc5ce3a9577aaa90bceb35d495ffcafc28c92ae86f79cb,aadb23bc6a0ce8c753d93e7990cfd1aa81c83d2ec800d5acdf4c817d6ae28d85,Celular Samsung A30,Samsung,8,15
42,652cc4e118f182b21033344c94b8d306e409153859e480fd4629be6d87dae5f4,4c4d9c5c3e12569f71338802698efcfc8bda6e277d422a08fa7eeb20864a2096,iPhone 6s 32gb Usado Rose Gold Bat 100%,iPhone,0,6
43,0e234c3bd9ab4ec5868119f44bcaf4c8e9a364b92c2fb5bf91b6e9bea8b2cf59,ca2deac4fbc2db5aa642c910299aac68a61ec72c06de1ff30c4e359aaa56b6ab,Celular Motorola E5play Liberado 16gb 2ram. ,Motorola,8,16
44,14a8283505d9051805b9e62417f3e8d00eb617edfba6b6ca586ad3bd1c4cf4f0,4f1688f68fe5529be76c890bc6e8920a4768206effc4991dcda5e6e908c1fb3a,LG Leon Se Debe Cambiar Modulo P/reparar O Repuestos,LG,0,2
45,f97f569eeb87d261da7ffd41ccae40ebe83ccda50c175167cca129cd4a58f5da,42ba61d2f9deb93a970d8fac77091b8d69a8f295dfc91aeca36a37aea4749729,Celular Samsung S4 Mini Blanco Liberado!,Samsung,8,15
46,589b5f8dec6cb9224e0e1640ccd8a07edc0a8ca1bbc0f4f0ee677a1db9ec890c,e6c9d3e5d6f37253b5c12bf23feca865cc9590c88f126193e1156960a58b6f0a,Samsung A30s ,Samsung,0,7
47,441d5b7aa5c8b67bccca40a7a114d0e98327dcb4278c803788018d79ee33e33a,d8d3a015213e797770ea2b3fe77b29a3a02b9d28bb4fb8df544c7d7bd725c6f6,iPhone 6s 16gb (exelente Estado) Caba Y Haedo,iPhone,0,6
48,adec100d97b8749d21b383edc050af0c9fd624f4048869e1b16723bb1fc2e03b,1858255518f1bbbcec534bf5b1dcd6ce9af6aa8b0e0a24c41322e76106baf332,Samsung Galaxy S 10 128gb Usado,Samsung,0,7
49,a4e009cbfd4ec07c93d84a8109c45750e9a27c9e508d1528d0c3934fe9938a86,76fa37993227d95dc58f74fd3c72edc31cf11f34d913fa6c215883c1bdc23f42,Samsung Galaxy A10s Dual Sim 32 Gb Negro 3 Gb Ram,Samsung,0,7
50,0534818ba51f25205a87359f7063f7f994970f98e2016806e838d288a1749928,d8cad214fb14b3e183fa2f73426c5134270a581161b8859a68a6bd9c618c3aef,Celular Kodak Smartway L2 16gb Violeta Dual Sim Android 10,Kodak,8,13
51,5e6b08afd2ffb0100faa1af8fe96f78279b422467e4619f5bd29473e6228e8a0,e07544bd21b229f032fdc1ad5a16cd50f3945a5273a6e306ee7a851e9c0aaa1b,iPhone X 256gb,iPhone,0,6
52,280a2518cbe3d796505b5802f2f0aba12af243fceb160a3ec1101784056df1b8,111537d5b0eb8f14bcae7ace5cafd000052c9f5ba5a773c77bdb6d13e5a2cb24,Samsung Galaxy S9+ 64 Gb Gris Titanio 6 Gb Ram,Samsung,0,7
53,1697a7844c60fd36712761cba9d3ba83f743cc8290b7f22274103e83ec30f1ea,1196738549f114b85a0c4b8e13d1108954f5f6c368e987292374b1d2049f807c, iPhone 6s Plus 32gb Gold,iPhone,1,7
54,03222657036e2a0edc33358b5aa3a44184afabf3d49efc103c7fa0b0ca9e05de,c63b28003ac7386fcb7209566bbd1248ac0009ea2bce1490353f6c176f91b2de,iPhone 4s,iPhone,0,6
55,bf0bda11cac8631c8db8edb42c333a08795cd7877f552ba700629ebd934ffd71,7387d34d0c4cec40bb899676d68c5d4bd6fa929c29a5a0655ebac720ca55d880,Samsung Note 10+ Plus(256 Gb+12gb Ram),Samsung,0,7
56,6bb9d029fa225bc351a928d355d8a422dc7632f3e772f16d6f71963501baf0ee,b34011c5c0ce920477957f83c08320095fa877f56f0b38896e4f0c2e1c0b8369,"Celular iPhone 6 A1549 ,no Prende, Para Repuestos,  ",iPhone,8,14
57,7228c3f5e6663b35ef1bf1c105810d9c0512c82f9ed32f1d5ebec8b941f27c1e,a3de00371c698956ba11e4f6bae2d2c18f135291c96321050409ba8436338c61,"Celular Redmi 8a, Liberado, Usado Como Nuevo. Cargador Origi",,,
58,08348e0f763725628095521ddc1c0266477ab43736e322f5f724c69414ad01cc,fa3953d971c58e2961219d3171fd3d9f2f51994cf2275200712d390da81f7fc1,iPhone 8 Rose Gold 64 Gb ,iPhone,0,6
59,d15719bc19fc30726e83305a12a80b58220c634448f65b237efe4c333dc3b930,b86c38294d4e6d8548ea62dd24e73c8be64089c299c49d64bb9d15cdcf587eb1,Permuto Vendo Motorola G60s 128/6gb,Motorola,14,22
60,6aece842ff37d24b8786a434c1d1f5556c7d705c8f2f07774b54cce48959dd2f,3bb9db7fb325b5855c54288ca10532a59d0b21f98ec822691c428e365f285fe2, Moto E7 32 Gb Azul Aqua 2 Gb Ram,,,
61,0852443fe93acbe01f84105f1c1dfb748561846447f384fba6854470f278e8e9,2235c60bb2b9524ccfd365045dde39238d272358b3dc993c9d407686aab0613c,iPhone 7 Plus 128 Gb,iPhone,0,6
62,afdb70becfd465defac6e1ccace1510beb63ab2e1ca4868fd5a9d671d8da905b,754c14e038fb58c791837d0cb97f6b8ffc8555fd19059cf72a5ddc7ca14241b2,iPhone 7 De 128gb Libre Con Detalles,iPhone,0,6
63,c66af9606de76212255d9b199b88f7d44a02111a10de5b69308f534f80b7d679,acef0c52372a826edd6226b02a6f5cbc0e2cb71bfbbc5c0f31c1d6c64ade1e3e,Xiaomi Redmi Note 9s,Xiaomi,0,6
64,f8f1971c73ff4ebd60997033439a9ab02378cacb2ea7c5ea2562a5b641ab7bf7,8ccab9839772dc99edf178c5eaa7ba2c7840a25b0bdb85ffce71e12796b8e4af,Apple iPhone 11 (128 Gb) - Blanco. ,iPhone,6,12
65,7107ada6dfc148db5a6d9a29456049a8a2d71995fe975cae40669150e891471a,5f4bdb682b55e03e56f1e6c1bf0cfc6cc240772e4f0b8a3bf1f70956337e2aa4,Xiaomi Mi Note 10 Lite + Smartwatch Amazfit Gts,Xiaomi,0,6
66,30b45213786b7445a4f06d6b33d430623749b34b1df354b6ca762f140c7430f0,b8d3c25d46bc6e890a88e3325e746f860f96593a29c018d936f4c3c119649969,iPhone 7 Plus 128 + Funda Mophie Usado Envió,iPhone,0,6
67,9034cf304138a04f874e47389ce82ef4806b8fce797c5e0183e4bd07ca35d045,1b3677407043fbe1d88dabd3e8be155f522213361dadad4ce1ee70c2ed298a80,Redmi Note 8 Pro 128 Gb,,,
68,b1cc9fc42ce2a17ff513735cc0c3ff5201438c5f8a7cf54b54ce87c41426658f,90acd30a37c9f7263803a874bfb950db8d2a53177d4cd5a8f4826a3d6ad00c00,Celular Tcl 20 Se Black T671e,Tcl,8,11
69,c2ab10d8cca4a5e7991108445406c3fa8f370acea3af98e5c853c4c0e82f2b6c,7f8c397237cd2becf476411036b2c3f812d273d8ee5c762a2b40798ac8554cd2,Motorola One Action 128 Gb 4 Gb Ram -para Repuesto Impecable,Motorola,0,8
70,3db966caf314c488db8adc4f6e046a19cef61275571a238d3b5499c9ac7972d3,65b01a621ad6bedbebfac5b1bf9a6550c550a38d5dee2dd74ed33b6a133b0f08,Motorola E 6 Play Nuevo 34 Gb Gris,Motorola,0,8
71,d63fd02719b1e4ad8fe883c92367cf1487487a08268bdc27b9cce5713223db5d,803f5c39f69116850f75a582bc31b1079538ac41002c7730e57a93a80083ac2c,iPhone 12 Pro (256gb) - Colón Grafito,iPhone,0,6
72,816e9364b51db7e0b8b4ada579525dc40aed0e473f3f1f483e5ffa7f7c0c0b73,796c313182c7bd9e23868ee3a4fdb2f08ed9d609727d32e48b87f8422ce3a6bc,Celular Motorola G8 Power 64gb,Motorola,8,16
73,1af94daceccab1c2be58e29d90e1d320c2370db85a83d2b046f6e52332514f4f,1df50344c4fda75f7026bdcdbae49a75a178094bb1e24e0b336431a863b399be,Apple iPhone 12 Pro Max (256 Gb) Azul Pacífico + Funda Apple,iPhone,6,12
74,291127190c2a988797da9a5afb819ebb292f540d6260594bea587e312291718e,c4ecea36ac30ff1be9c978335e3c013bf3a3f2e0f220cc6f54b3d0a7c8bfd2c6,"Samsung A 31  , 128 Gb ",Samsung,0,7
75,471f6c3ded8759144aacea2e6d066ce40d4e5e1a515169e86056a614b0139d9c,04175dc3bd545b2e067c6e1d88a3307f07d7ca52a6454360ca20931179916fdc,iPhone 5s,iPhone,0,6
76,cac6d4bc20e35b72bcb21c78b2d51cb3ee98cb1a1b7966eeb0cfc83d7452705e,deaa356d90a8d5a5e28d3816e0c1370cb8fdd80eae64f7f574906d87b97594de,Samsung Galaxy J7 (2016) Usado ,Samsung,0,7
77,9f7dd7be61f822ca9538bb3a2db6e6a8050c71a25990902bdfd0a0e00932df20,e837c7d9f22a88db82adb365b28565ef7573cfbf17373c0e94bb6c58e7fa200b,Nokia N93i,Nokia,0,5
78,66b25ee4734e269efa89dcd19b90d1492c9f2ca4b45f8d9cf4cd0501a9f88c9a,2cbfca6c59c826c4dd2787a73d12f19fcc9b9d2f08024fcfa041f0f024adcff6,Vendo O Permuto Samsung Galaxy A50 128gb Libre,Samsung,16,23
79,b107c682233bb317ba6a22e7f5410be4dbee6e6a7946e383c0023a644e5f6d68,77a57ee88fb2f5b4f66f024532e4b902685a30aa60bbd482f1026c9026d6013b,Celular  / LG 806,LG,11,13
80,649eb3568a9ca7f5f051a1af09bfded65e1b4826fa27c6e7a733c1c0e385942e,8afd57347730850faa57a062bd91e633f673f1378a8dd9da6c4989a6ed20ce7a,iPhone 4,iPhone,0,6
81,cfd004291137ea083e8fe2b82a72cf75ee3497c2695a6fe0527cc08820ae936a,0cfe02e029ae4b47377debff8eb8397a224f3d7b56fa7173d3120e38bc6b42df, iPhone 6 Poco Uso Con Funda Original,iPhone,1,7
82,64a94549d73a7d4a45dbe3f1abadd7f598f18329db1f9dd0310a89c8d2b73f67,aba879b32668ee7b1c7e6b01cd3c3743cb68799a805babda1e3cf1daffa41f5f,Samsung Galaxy J7 Prime 2 Dual Sim,Samsung,0,7
83,2505d89a96f27e3ae303dc0af2f2fb874600b8734026bf11caf106f364bd11ff,9577046aad4242936fa58ec5a831fde9387cabd25eac515efb84c2d45cec0876,Motorola One Dual Sim 64 Gb Negro 4 Gb Ram Funda Vidrio,Motorola,0,8
84,259e73f7631e9e33f7b730960cec92ee3a82493ed0e86ce6b63d068e4d9170db,9149c4419d2da3f9167b605e656e84bd5a69a3e6604252d1c193698ebd810f7a,iPhone X 64gb Módulo Roto,iPhone,0,6
85,7f6beefe307af7eea0bd6415a99c4c8ffe8adffee42e2ca003edf3aa90853e63,ad693f76ec712c16f591b611a9cae2abaa6f7ef3966e9cae52e0b60f2f472716,Samsung Galaxy M10 16 Gb Negro Carbón 2 Gb Ram,Samsung,0,7
86,0717694393b142838058b93b3c0eabc5b1fe5615b0bfd8298f1965596c943294,f725d54721611cc56f57bf4adcdff80b3839309a92ac3ce820329fae20dee3fe,Celular Samsung ,Samsung,8,15
87,eb57a0620fd9fe41506b76995a1233fac399068b596c0593a6a873f998d249a2,2331ddfc004571c6b1fc7442f8e2e6dbbb7284757eb36f87105b4ad2a413fcf1,Motorola G1 16gb Dual Sim,Motorola,0,8
88,e33e974774659f59b8f5ac5e79ea8895771a95d81382afa58c02a667321cb6d5,d5430f86fa851fabce1a1a9c2a26a7b3f38d88e660ee64672a4d38cb1de6b787,Samsung A20 ,Samsung,0,7
89,bde583e82f8ea3c02e2b9f59fc7a8cffc5d1e26d7fc5f2a341e329165c50d02f,6b9601ecacaa4b96dbfc4cad6371da1d399bf6b07c758a7c3448cf7609ac68df,Samsung Galaxy A72 128 Gb Blanco 6 Gb Ram Watchcenter ,Samsung,0,7
90,07069cc19c0ebdb6db0945361a5a5505b7b19559389f8fcc69749e148257aeda,61354c863258b51d2ea9e818d766fd7fd99de5799ed95ad3ea30c435c480aa51,iPhone 7 Plus 128gb,iPhone,0,6
91,4917516b14245b90e962938fad63e1a067cdeffbc5b618beeb0776dd172362d6,90ee55812d2e6745de2c5131551a09adf2cfbe1014b771f3732de87b0c1a4e14,Samsung Galaxy A72 128 Gb Blanco 6 Gb Ram Caiocentro,Samsung,0,7
92,75a33c655216a8bcfa634127e1dd22a7c8a3e160c93c233d7f7f98c6ac167416,1d0487b2e6ac8242e41e8b9a5c7e21c15c9cf8318269a2f8f209a9e08a2be195,Celular Nokia 1 Plus,Nokia,8,13
93,f1dc79eb731e8b3ff6d1bf48e388f17a138ea5850aeb41ecfd3640b9aef3374c,ccac2c394ff82f77a4d6e17b1086f661437d0f3b5e9360220d0279f1c14f5f67,Celular Samsung Galaxy S8+,Samsung,8,15
94,07c806f25a8f03eb21d2bbf3799c9ab9a85d207231088022fc53d17c884f4d7f,38479f4f8e380699a23de0037163f06c65a3388f2820b5a936af12522721b090,Motorola G7 Plus,Motorola,0,8
95,772bef381aff927c0d79512b99f285bb2aa6ec7e36dfba62f2336f9242fcf9e8,b1b30ca9c71f7c53acaa1e43e97ffe71276e498b0f00070573e09bcd28f58a8f,Celular Motorola Moto G 8gb Como Nuevo Negro,Motorola,8,16
96,298554d41a28d53c177acfe47814ee077a140b5ce732b8169c502ffbf3e46106,f755521a0f233dcb461f2844309ca9b6cbc28272efa199f05ba979beab37b7c9,Kodak Smartway L1 Pro Dual Sim 16 Gb 1 Gb Ram + Auriculares,Kodak,0,5
97,66ae0dd1cdcd696c5f1327ea22919397b01ceb441da8e5e31e2152d088474095,6d90348869225e502d39f757e56a91330a091cd24470e3e01c3296f720170b92, iPhone 7 32 Gb Rose Gold. Excelente Estado!,iPhone,1,7
98,72775a7eda8783c8943b9004479f7d6456975b265c5220789b41b7615adad66a,5feb6c4fcdcebd82da552b183f6ad07b1c6df16aa5b448d9df4a6d6b5c4b41e5,Xiaomi Redmi 9 64gb/4gb,Xiaomi,0,6
99,f36c569a21bc43e1d13384868dbc32d113f936ffec95f9509d6679afebb41a0e,9960d367d63d7c00ee6397f55a02d19b704557e20433bb9990ceb40119d91305,Celular Con Tapita Motorola Para Personal Estéticamente Acep,Motorola,19,27
